Year,Country,Currency,Indicator,Gasoline Price
2010,Oman,OMR,Real Gasoline price US$/ Liter,0.311688312
2011,Oman,OMR,Gasoline Price US$/ Liter,0.31
2013,Oman,OMR,Real Gasoline price US$/ Liter,0.337973171
2014,Oman,OMR,Gasoline Price US$/ Liter,0.31
2006,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.126309912
2008,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2011,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.72
2011,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.47
2014,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.492031545
2007,Qatar,QAR,Gasoline Price LCU/ Liter,0.7
2009,Qatar,QAR,Gasoline Price LCU/ Liter,0.7
2011,Qatar,QAR,Gasoline Price US$/ Liter,0.27
2001,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2003,Kuwait,KWD,Real Gasoline price US$/ Liter,0.176022888
2004,Kuwait,KWD,Gasoline Price US$/ Liter,0.24
2000,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.24
2006,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2007,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.493407787
2009,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.151884597
2013,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.676170939
2000,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,0.541256444
2000,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.25
2004,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.03
2004,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.189067189
2007,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.372992105
2012,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.7466037
2013,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.47
2004,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.514033014
2007,Qatar,QAR,Real Gasoline price US$/ Liter,0.180062753
2009,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.717398762
2011,Qatar,QAR,Real Gasoline price US$/ Liter,0.279990082
2014,Qatar,QAR,Gasoline Price LCU/ Liter,0.85
2000,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2001,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2005,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.24
2006,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2007,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2008,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.6
2008,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.144560261
2011,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.169317746
2012,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.653265721
2014,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.185127535
2002,United Arab Emirates,AED,Real Gasoline price US$/ Liter,0.17963289
2007,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.37
2010,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.72
2010,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.47
2012,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.47
2013,United Arab Emirates,AED,Gasoline Price LCU/ Liter,1.72
2014,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.807231865
2004,Qatar,QAR,Real Gasoline price US$/ Liter,0.141217861
2006,Qatar,QAR,Gasoline Price US$/ Liter,0.19
2011,Qatar,QAR,Gasoline Price LCU/ Liter,1
2014,Qatar,QAR,Real Gasoline Price LCU/ Liter,0.938147602
2002,Kuwait,KWD,Real Gasoline price US$/ Liter,0.174346804
2003,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2005,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2006,Kuwait,KWD,Gasoline Price US$/ Liter,0.22
2007,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2008,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.064036145
2009,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2012,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.070370052
2012,Kuwait,KWD,Real Gasoline price US$/ Liter,0.245191818
2013,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.072271945
2013,Kuwait,KWD,Real Gasoline price US$/ Liter,0.251818623
2014,Kuwait,KWD,Gasoline Price US$/ Liter,0.22
2014,Kuwait,KWD,Real Gasoline price US$/ Liter,0.259143778
2000,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.083438502
2001,Bahrain,BHD,Gasoline Price LCU/ Liter,0.1
2002,Bahrain,BHD,Real Gasoline price US$/ Liter,0.218144798
2003,Bahrain,BHD,Real Gasoline price US$/ Liter,0.221621209
2004,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.085290271
2006,Bahrain,BHD,Gasoline Price US$/ Liter,0.21
2006,Bahrain,BHD,Real Gasoline price US$/ Liter,0.189898958
2008,Bahrain,BHD,Gasoline Price LCU/ Liter,0.08
2009,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.078460692
2011,Bahrain,BHD,Gasoline Price LCU/ Liter,0.08
2011,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.079708442
2011,Bahrain,BHD,Gasoline Price US$/ Liter,0.212765957
2014,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.147652808
2000,Oman,OMR,Gasoline Price US$/ Liter,0.31
2001,Oman,OMR,Gasoline Price US$/ Liter,0.31
2002,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2002,Oman,OMR,Gasoline Price US$/ Liter,0.31
2002,Oman,OMR,Real Gasoline price US$/ Liter,0.230560763
2003,Oman,OMR,Real Gasoline Price LCU/ Liter,0.088930441
2004,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2004,Oman,OMR,Real Gasoline Price LCU/ Liter,0.08960359
2005,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2008,Oman,OMR,Real Gasoline price US$/ Liter,0.29057883
2009,Oman,OMR,Gasoline Price US$/ Liter,0.31
2009,Oman,OMR,Real Gasoline price US$/ Liter,0.302013618
2011,Oman,OMR,Real Gasoline price US$/ Liter,0.324374205
2012,Oman,OMR,Real Gasoline Price LCU/ Liter,0.128519073
2014,Oman,OMR,Real Gasoline price US$/ Liter,0.341400269
2001,Saudi Arabia,SAR,Real Gasoline Price LCU/ Liter,0.68246859
2001,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.24
2003,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.183480689
2004,Saudi Arabia,SAR,Gasoline Price LCU/ Liter,0.9
2004,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.24
2004,Saudi Arabia,SAR,Real Gasoline price US$/ Liter,0.184085621
2010,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2011,Saudi Arabia,SAR,Gasoline Price US$/ Liter,0.16
2000,United Arab Emirates,AED,Gasoline Price LCU/ Liter,0.92
2002,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,0.659791606
2002,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.29
2010,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.72
2011,United Arab Emirates,AED,Real Gasoline Price LCU/ Liter,1.73508159
2014,United Arab Emirates,AED,Gasoline Price US$/ Liter,0.47
2004,Qatar,QAR,Gasoline Price US$/ Liter,0.21
2006,Qatar,QAR,Real Gasoline price US$/ Liter,0.158285567
2007,Qatar,QAR,Gasoline Price US$/ Liter,0.19
2008,Qatar,QAR,Real Gasoline price US$/ Liter,0.207162458
2010,Qatar,QAR,Real Gasoline price US$/ Liter,0.192307692
2014,Qatar,QAR,Real Gasoline price US$/ Liter,0.257732858
2000,Kuwait,KWD,Real Gasoline price US$/ Liter,0.170593742
2001,Kuwait,KWD,Real Gasoline price US$/ Liter,0.17281146
2002,Kuwait,KWD,Real Gasoline Price LCU/ Liter,0.050037533
2007,Kuwait,KWD,Real Gasoline price US$/ Liter,0.201769748
2008,Kuwait,KWD,Gasoline Price LCU/ Liter,0.07
2012,Kuwait,KWD,Gasoline Price LCU/ Liter,0.065
2013,Kuwait,KWD,Gasoline Price LCU/ Liter,0.065
2002,Bahrain,BHD,Gasoline Price US$/ Liter,0.27
2004,Bahrain,BHD,Gasoline Price US$/ Liter,0.27
2006,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.071402008
2007,Bahrain,BHD,Gasoline Price LCU/ Liter,0.08
2009,Bahrain,BHD,Real Gasoline price US$/ Liter,0.208672052
2012,Bahrain,BHD,Real Gasoline Price LCU/ Liter,0.106106701
2012,Bahrain,BHD,Gasoline Price US$/ Liter,0.27
2014,Bahrain,BHD,Gasoline Price LCU/ Liter,0.136
2014,Bahrain,BHD,Gasoline Price US$/ Liter,0.361702128
2001,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2001,Oman,OMR,Real Gasoline Price LCU/ Liter,0.089020194
2004,Oman,OMR,Gasoline Price US$/ Liter,0.31
2004,Oman,OMR,Real Gasoline price US$/ Liter,0.232736598
2006,Oman,OMR,Gasoline Price US$/ Liter,0.31
2006,Oman,OMR,Real Gasoline price US$/ Liter,0.244664834
2009,Oman,OMR,Real Gasoline Price LCU/ Liter,0.116275243
2010,Oman,OMR,Gasoline Price US$/ Liter,0.31
2011,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2012,Oman,OMR,Gasoline Price LCU/ Liter,0.12
2012,Oman,OMR,Real Gasoline price US$/ Liter,0.333815773
